createdAt;chargeLevelPercent;houseLoadPowerW;chargingStatus;batteryVoltageV;dischargingCurrentA
Fri Feb 16 2024 13:27:22 GMT+0000 (Coordinated Universal Time);100;2.0256;charging;52.4;0
Fri Feb 16 2024 13:27:27 GMT+0000 (Coordinated Universal Time);100;2.0512;charging;52.4;0
Fri Feb 16 2024 13:27:32 GMT+0000 (Coordinated Universal Time);100;-0.01536;charging;52.5;0
Fri Feb 16 2024 13:28:04 GMT+0000 (Coordinated Universal Time);100;-0.10752;charging;52.5;0
Fri Feb 16 2024 13:28:09 GMT+0000 (Coordinated Universal Time);100;0.02048;charging;52.5;0
Fri Feb 16 2024 13:28:15 GMT+0000 (Coordinated Universal Time);100;0.0256;charging;52.5;0
Fri Feb 16 2024 13:28:20 GMT+0000 (Coordinated Universal Time);100;0.03072;charging;52.5;0
Fri Feb 16 2024 13:28:26 GMT+0000 (Coordinated Universal Time);100;1.00512;charging;52.4;0
Fri Feb 16 2024 13:28:31 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.7;0
Fri Feb 16 2024 13:28:36 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.6;0
Fri Feb 16 2024 13:28:42 GMT+0000 (Coordinated Universal Time);100;0;charging;52.5;0
Fri Feb 16 2024 13:28:47 GMT+0000 (Coordinated Universal Time);100;0;charging;52.6;0
Fri Feb 16 2024 13:28:52 GMT+0000 (Coordinated Universal Time);100;4.09216;charging;52.5;0
Fri Feb 16 2024 13:28:58 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.5;0
Fri Feb 16 2024 13:29:04 GMT+0000 (Coordinated Universal Time);100;0.10752;charging;52.4;0
Fri Feb 16 2024 13:29:09 GMT+0000 (Coordinated Universal Time);100;0.04096;charging;52.4;0
Fri Feb 16 2024 13:29:14 GMT+0000 (Coordinated Universal Time);100;0.08704;charging;52.4;0
Fri Feb 16 2024 13:29:20 GMT+0000 (Coordinated Universal Time);100;4.00512;charging;52.5;0
Fri Feb 16 2024 13:29:25 GMT+0000 (Coordinated Universal Time);100;0;charging;52.5;0
Fri Feb 16 2024 13:29:30 GMT+0000 (Coordinated Universal Time);100;-0.07168;charging;52.7;0
Fri Feb 16 2024 13:29:36 GMT+0000 (Coordinated Universal Time);100;4.04096;charging;52.6;0
Fri Feb 16 2024 13:29:41 GMT+0000 (Coordinated Universal Time);100;4.03072;charging;52.6;0
Fri Feb 16 2024 13:29:47 GMT+0000 (Coordinated Universal Time);100;0.0512;charging;52.6;0
Fri Feb 16 2024 13:29:52 GMT+0000 (Coordinated Universal Time);100;-0.03584;charging;52.4;0
Fri Feb 16 2024 13:29:58 GMT+0000 (Coordinated Universal Time);100;0.0512;charging;52.4;0
Fri Feb 16 2024 13:30:03 GMT+0000 (Coordinated Universal Time);100;5.09216;charging;52.5;0
Fri Feb 16 2024 13:30:08 GMT+0000 (Coordinated Universal Time);100;-0.0256;charging;52.4;0
Fri Feb 16 2024 13:30:14 GMT+0000 (Coordinated Universal Time);100;-0.10752;charging;52.4;0
Fri Feb 16 2024 13:30:19 GMT+0000 (Coordinated Universal Time);100;0.08192;charging;52.5;0
Fri Feb 16 2024 13:30:25 GMT+0000 (Coordinated Universal Time);100;-0.04608;charging;52.5;0
Fri Feb 16 2024 13:30:30 GMT+0000 (Coordinated Universal Time);100;0.0512;charging;52.5;0
Fri Feb 16 2024 13:30:35 GMT+0000 (Coordinated Universal Time);100;0.0512;charging;52.6;0
Fri Feb 16 2024 13:30:41 GMT+0000 (Coordinated Universal Time);100;0.0256;charging;52.5;0
Fri Feb 16 2024 13:30:46 GMT+0000 (Coordinated Universal Time);100;-0.04608;charging;52.5;0
Fri Feb 16 2024 13:30:51 GMT+0000 (Coordinated Universal Time);100;-0.06144;charging;52.4;0
Fri Feb 16 2024 13:30:57 GMT+0000 (Coordinated Universal Time);100;1.01536;charging;52.6;0
Fri Feb 16 2024 13:31:03 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.5;0
Fri Feb 16 2024 13:31:09 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.5;0
Fri Feb 16 2024 13:31:14 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.4;0
Fri Feb 16 2024 13:31:19 GMT+0000 (Coordinated Universal Time);100;6.09216;charging;52.5;0
Fri Feb 16 2024 13:31:25 GMT+0000 (Coordinated Universal Time);100;13.09216;charging;52.7;0
Fri Feb 16 2024 13:31:30 GMT+0000 (Coordinated Universal Time);100;0.09216;charging;52.7;0
Fri Feb 16 2024 13:31:35 GMT+0000 (Coordinated Universal Time);100;0.03584;charging;52.5;0
Fri Feb 16 2024 13:31:41 GMT+0000 (Coordinated Universal Time);100;0.02048;charging;52.5;0
Fri Feb 16 2024 13:31:46 GMT+0000 (Coordinated Universal Time);100;0.0256;charging;52.5;0
Fri Feb 16 2024 13:31:51 GMT+0000 (Coordinated Universal Time);100;1.01024;charging;52.5;0
Fri Feb 16 2024 13:31:57 GMT+0000 (Coordinated Universal Time);100;2.04608;charging;52.5;0
Fri Feb 16 2024 13:32:02 GMT+0000 (Coordinated Universal Time);100;5.96928;charging;52.5;0
Fri Feb 16 2024 13:32:08 GMT+0000 (Coordinated Universal Time);100;0.01024;charging;52.5;0
Fri Feb 16 2024 13:32:13 GMT+0000 (Coordinated Universal Time);100;3.03584;charging;52.5;0
Fri Feb 16 2024 13:32:18 GMT+0000 (Coordinated Universal Time);100;7.0512;charging;52.5;0
Fri Feb 16 2024 13:32:24 GMT+0000 (Coordinated Universal Time);100;7.00512;charging;52.5;0
Fri Feb 16 2024 13:32:29 GMT+0000 (Coordinated Universal Time);100;0.01024;charging;52.5;0
Fri Feb 16 2024 13:32:35 GMT+0000 (Coordinated Universal Time);100;-0.01024;charging;52.5;0
Fri Feb 16 2024 13:32:40 GMT+0000 (Coordinated Universal Time);100;-0.03584;charging;52.6;0
Fri Feb 16 2024 13:32:45 GMT+0000 (Coordinated Universal Time);100;-0.00512;charging;52.5;0
Fri Feb 16 2024 13:32:51 GMT+0000 (Coordinated Universal Time);100;-0.02048;charging;52.6;0
Fri Feb 16 2024 13:32:56 GMT+0000 (Coordinated Universal Time);100;0.06144;charging;52.5;0
Fri Feb 16 2024 13:33:01 GMT+0000 (Coordinated Universal Time);100;0;charging;52.5;0
Fri Feb 16 2024 13:33:07 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.5;0
Fri Feb 16 2024 13:33:12 GMT+0000 (Coordinated Universal Time);100;0.0512;charging;52.6;0
Fri Feb 16 2024 13:33:18 GMT+0000 (Coordinated Universal Time);100;2.03072;charging;52.5;0
Fri Feb 16 2024 13:33:23 GMT+0000 (Coordinated Universal Time);100;0.04608;charging;52.5;0
Fri Feb 16 2024 13:33:28 GMT+0000 (Coordinated Universal Time);100;5.01536;charging;52.5;0
Fri Feb 16 2024 13:33:34 GMT+0000 (Coordinated Universal Time);100;0;charging;52.5;0
Fri Feb 16 2024 13:33:39 GMT+0000 (Coordinated Universal Time);100;-0.09728;charging;52.5;0
Fri Feb 16 2024 13:33:44 GMT+0000 (Coordinated Universal Time);100;0.01024;charging;52.5;0
Fri Feb 16 2024 13:33:50 GMT+0000 (Coordinated Universal Time);100;2.93344;charging;52.5;0
Fri Feb 16 2024 13:33:55 GMT+0000 (Coordinated Universal Time);100;0;charging;52.7;0
Fri Feb 16 2024 13:34:01 GMT+0000 (Coordinated Universal Time);100;0;charging;52.6;0
Fri Feb 16 2024 13:34:07 GMT+0000 (Coordinated Universal Time);100;0.01024;charging;52.6;0
Fri Feb 16 2024 13:34:12 GMT+0000 (Coordinated Universal Time);100;3.01536;charging;52.4;0
Fri Feb 16 2024 13:34:17 GMT+0000 (Coordinated Universal Time);100;0.01536;charging;52.5;0
Fri Feb 16 2024 13:34:23 GMT+0000 (Coordinated Universal Time);100;-0.03072;charging;52.5;0
Fri Feb 16 2024 13:34:28 GMT+0000 (Coordinated Universal Time);100;-0.00512;charging;52.6;0
Fri Feb 16 2024 13:34:33 GMT+0000 (Coordinated Universal Time);100;0.96928;charging;52.6;0
