createdAt;chargeLevelPercent;houseLoadPowerW;batteryVoltageV;dischargingCurrentA
Mon Feb 05 2024 13:27:11 GMT+0000 (Coordinated Universal Time);95;1;53;0
Mon Feb 05 2024 13:27:16 GMT+0000 (Coordinated Universal Time);95;0;53;0
Mon Feb 05 2024 13:27:22 GMT+0000 (Coordinated Universal Time);95;3;53;0
Mon Feb 05 2024 13:27:27 GMT+0000 (Coordinated Universal Time);95;3;53;0
Mon Feb 05 2024 13:27:32 GMT+0000 (Coordinated Universal Time);95;2;53;0
Mon Feb 05 2024 13:27:38 GMT+0000 (Coordinated Universal Time);95;8;53;0
Mon Feb 05 2024 13:27:43 GMT+0000 (Coordinated Universal Time);95;4;53;0
Mon Feb 05 2024 13:27:49 GMT+0000 (Coordinated Universal Time);95;0;53;0
Mon Feb 05 2024 13:27:55 GMT+0000 (Coordinated Universal Time);95;3;53;0
Mon Feb 05 2024 13:28:01 GMT+0000 (Coordinated Universal Time);95;0;53;0
Mon Feb 05 2024 13:28:07 GMT+0000 (Coordinated Universal Time);95;0;53;0
Mon Feb 05 2024 13:28:12 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:28:17 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:28:23 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:28:28 GMT+0000 (Coordinated Universal Time);95;4;53;0
Mon Feb 05 2024 13:28:33 GMT+0000 (Coordinated Universal Time);95;4;53;0
Mon Feb 05 2024 13:28:39 GMT+0000 (Coordinated Universal Time);95;0;53.4;0
Mon Feb 05 2024 13:28:44 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:28:50 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:28:55 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:29:00 GMT+0000 (Coordinated Universal Time);95;0;53.2;0
Mon Feb 05 2024 13:29:05 GMT+0000 (Coordinated Universal Time);95;0;53.2;0
Mon Feb 05 2024 13:29:11 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:29:16 GMT+0000 (Coordinated Universal Time);95;0;53.2;0
Mon Feb 05 2024 13:29:21 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:29:27 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:29:32 GMT+0000 (Coordinated Universal Time);95;0;53.2;0
Mon Feb 05 2024 13:29:38 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:29:43 GMT+0000 (Coordinated Universal Time);95;6;53.2;0
Mon Feb 05 2024 13:29:49 GMT+0000 (Coordinated Universal Time);95;0;52.9;0
Mon Feb 05 2024 13:29:54 GMT+0000 (Coordinated Universal Time);95;0;53.2;0
Mon Feb 05 2024 13:30:00 GMT+0000 (Coordinated Universal Time);95;0;53.1;0
Mon Feb 05 2024 13:30:05 GMT+0000 (Coordinated Universal Time);95;4;53.1;0
Mon Feb 05 2024 13:30:11 GMT+0000 (Coordinated Universal Time);95;0;53.2;0
Mon Feb 05 2024 13:30:16 GMT+0000 (Coordinated Universal Time);95;5;53.2;0
Mon Feb 05 2024 13:30:22 GMT+0000 (Coordinated Universal Time);95;5;53.2;0
Mon Feb 05 2024 13:30:28 GMT+0000 (Coordinated Universal Time);95;7;53.2;0
